symbol,time,open,high,low,close,tick_volume,spread,real_volume
XAUUSD,2024-12-23 19:50:00,2610.21,2611.15,2609.57,2610.75,279,9,0
XAUUSD,2024-12-23 19:55:00,2610.76,2611.23,2610.37,2611.1,301,9,0
XAUUSD,2024-12-23 20:00:00,2611.06,2612.48,2610.99,2612.43,265,9,0
XAUUSD,2024-12-23 20:05:00,2612.47,2612.6,2611.59,2611.7,218,9,0
XAUUSD,2024-12-23 20:10:00,2611.78,2611.96,2611.25,2611.75,244,9,0
XAUUSD,2024-12-23 20:15:00,2611.78,2611.96,2611.06,2611.21,267,9,0
XAUUSD,2024-12-23 20:20:00,2611.2,2611.42,2610.79,2610.83,236,9,0
XAUUSD,2024-12-23 20:25:00,2610.82,2611.67,2610.82,2611.26,191,9,0
XAUUSD,2024-12-23 20:30:00,2611.26,2611.69,2611.05,2611.45,226,9,0
XAUUSD,2024-12-23 20:35:00,2611.41,2611.69,2610.28,2610.38,223,9,0
XAUUSD,2024-12-23 20:40:00,2610.37,2611.34,2610.26,2610.71,231,9,0
XAUUSD,2024-12-23 20:45:00,2610.68,2610.74,2609.15,2609.48,213,2,0
XAUUSD,2024-12-23 20:50:00,2609.44,2610.32,2609.34,2609.6,267,9,0
XAUUSD,2024-12-23 20:55:00,2609.87,2611.15,2609.87,2611.09,258,7,0
XAUUSD,2024-12-23 21:00:00,2610.9,2611.27,2610.55,2611.17,89,9,0
XAUUSD,2024-12-23 21:05:00,2611.17,2611.17,2610.06,2610.27,53,12,0
XAUUSD,2024-12-23 21:10:00,2610.24,2610.72,2610.1,2610.6,71,13,0
XAUUSD,2024-12-23 21:15:00,2610.68,2611.08,2610.47,2610.98,74,13,0
XAUUSD,2024-12-23 21:20:00,2610.98,2611.8,2610.79,2611.78,61,9,0
XAUUSD,2024-12-23 21:25:00,2611.71,2612.61,2611.32,2612.29,75,9,0
XAUUSD,2024-12-23 21:30:00,2612.38,2613.31,2612.29,2613.31,54,13,0
XAUUSD,2024-12-23 21:35:00,2613.31,2613.46,2613.03,2613.41,23,8,0
XAUUSD,2024-12-23 21:40:00,2613.41,2613.69,2613.03,2613.07,58,13,0
XAUUSD,2024-12-23 21:45:00,2613.06,2613.29,2612.6,2612.92,77,9,0
XAUUSD,2024-12-23 21:50:00,2612.91,2613.28,2612.88,2613.05,78,9,0
XAUUSD,2024-12-23 23:05:00,2614.81,2614.81,2613.84,2613.95,91,9,0
XAUUSD,2024-12-23 23:10:00,2614.03,2614.44,2613.65,2614.43,63,9,0
XAUUSD,2024-12-23 23:15:00,2614.31,2614.97,2614.31,2614.57,83,10,0
XAUUSD,2024-12-23 23:20:00,2614.67,2614.9,2614.25,2614.36,62,10,0
XAUUSD,2024-12-23 23:25:00,2614.37,2615.71,2614.32,2615.65,103,9,0
XAUUSD,2024-12-23 23:30:00,2615.74,2616.82,2615.4,2616.81,105,4,0
XAUUSD,2024-12-23 23:35:00,2616.77,2617.01,2615.86,2616.05,89,9,0
XAUUSD,2024-12-23 23:40:00,2616.06,2616.06,2614.89,2614.94,71,9,0
XAUUSD,2024-12-23 23:45:00,2614.92,2616.36,2614.34,2616.19,144,5,0
XAUUSD,2024-12-23 23:50:00,2616.1,2616.5,2614.81,2615.45,164,5,0
XAUUSD,2024-12-23 23:55:00,2615.45,2615.93,2615.45,2615.76,85,7,0
XAUUSD,2024-12-24 00:00:00,2615.71,2616.12,2615.27,2615.56,99,5,0
XAUUSD,2024-12-24 00:05:00,2615.57,2616.31,2615.53,2615.63,143,5,0
XAUUSD,2024-12-24 00:10:00,2615.63,2615.91,2615.32,2615.46,81,11,0
XAUUSD,2024-12-24 00:15:00,2615.52,2615.6,2614.74,2614.75,69,6,0
XAUUSD,2024-12-24 00:20:00,2614.81,2615.24,2614.36,2614.96,130,6,0
XAUUSD,2024-12-24 00:25:00,2614.95,2614.96,2614.25,2614.46,80,10,0
XAUUSD,2024-12-24 00:30:00,2614.52,2614.91,2614.24,2614.68,140,11,0
XAUUSD,2024-12-24 00:35:00,2614.7,2615.1,2613.81,2613.86,162,6,0
XAUUSD,2024-12-24 00:40:00,2613.91,2614.54,2613.6,2614.27,147,11,0
XAUUSD,2024-12-24 00:45:00,2614.27,2615.59,2614.15,2615.17,83,6,0
XAUUSD,2024-12-24 00:50:00,2615.17,2615.96,2614.84,2615.8,124,8,0
XAUUSD,2024-12-24 00:55:00,2615.81,2617.36,2615.78,2616.71,201,6,0
XAUUSD,2024-12-24 01:00:00,2616.73,2618.03,2616.73,2617.23,419,6,0
XAUUSD,2024-12-24 01:05:00,2617.12,2617.3,2615.17,2615.95,374,4,0
XAUUSD,2024-12-24 01:10:00,2615.94,2616.65,2615.28,2615.56,326,10,0
XAUUSD,2024-12-24 01:15:00,2615.55,2616.06,2614.8,2615.04,318,10,0
XAUUSD,2024-12-24 01:20:00,2614.95,2615.46,2614.5,2615.28,296,10,0
XAUUSD,2024-12-24 01:25:00,2615.34,2615.82,2614.88,2615.27,284,9,0
XAUUSD,2024-12-24 01:30:00,2615.18,2616.62,2615.09,2616.35,332,8,0
XAUUSD,2024-12-24 01:35:00,2616.37,2618.0,2616.32,2617.58,345,9,0
XAUUSD,2024-12-24 01:40:00,2617.59,2617.76,2616.36,2616.79,253,9,0
XAUUSD,2024-12-24 01:45:00,2616.79,2617.18,2615.65,2616.0,281,9,0
XAUUSD,2024-12-24 01:50:00,2616.04,2616.72,2615.62,2616.4,329,9,0
XAUUSD,2024-12-24 01:55:00,2616.4,2617.81,2615.8,2617.65,263,9,0
XAUUSD,2024-12-24 02:00:00,2617.52,2618.6,2617.52,2617.75,337,9,0
XAUUSD,2024-12-24 02:05:00,2617.73,2618.8,2617.42,2618.31,386,9,0
XAUUSD,2024-12-24 02:10:00,2618.31,2618.99,2617.93,2618.31,279,9,0
